Episode: 1 | Reward: 20.0 | Q Loss: 0.7034496665000916 | Steps: 20
Episode: 2 | Reward: 23.0 | Q Loss: 0.694709837436676 | Steps: 43
Episode: 3 | Reward: 16.0 | Q Loss: 0.6938164234161377 | Steps: 59
Episode: 4 | Reward: 18.0 | Q Loss: 0.6933099031448364 | Steps: 77
Episode: 5 | Reward: 17.0 | Q Loss: 0.6933311223983765 | Steps: 94
Episode: 6 | Reward: 13.0 | Q Loss: 0.6934031248092651 | Steps: 107
Episode: 7 | Reward: 27.0 | Q Loss: 0.6934731602668762 | Steps: 134
Episode: 8 | Reward: 21.0 | Q Loss: 0.6932620406150818 | Steps: 155
Episode: 9 | Reward: 22.0 | Q Loss: 0.6933474540710449 | Steps: 177
Episode: 10 | Reward: 9.0 | Q Loss: 0.6932464838027954 | Steps: 186
Episode: 11 | Reward: 15.0 | Q Loss: 0.693242073059082 | Steps: 201
Episode: 12 | Reward: 12.0 | Q Loss: 0.6933649182319641 | Steps: 213
Episode: 13 | Reward: 8.0 | Q Loss: 0.6933008432388306 | Steps: 221
Episode: 14 | Reward: 15.0 | Q Loss: 0.6932303309440613 | Steps: 236
Episode: 15 | Reward: 17.0 | Q Loss: 0.6932145357131958 | Steps: 253
Episode: 16 | Reward: 10.0 | Q Loss: 0.6933894753456116 | Steps: 263
Episode: 17 | Reward: 20.0 | Q Loss: 0.6932836174964905 | Steps: 283
Episode: 18 | Reward: 13.0 | Q Loss: 0.6932976841926575 | Steps: 296
Episode: 19 | Reward: 18.0 | Q Loss: 0.6931743025779724 | Steps: 314
Episode: 20 | Reward: 34.0 | Q Loss: 0.6932084560394287 | Steps: 348
Episode: 21 | Reward: 20.0 | Q Loss: 0.693265974521637 | Steps: 368
Episode: 22 | Reward: 13.0 | Q Loss: 0.6932272911071777 | Steps: 381
Episode: 23 | Reward: 18.0 | Q Loss: 0.6932017803192139 | Steps: 399
Episode: 24 | Reward: 24.0 | Q Loss: 0.6933096647262573 | Steps: 423
Episode: 25 | Reward: 17.0 | Q Loss: 0.6933281421661377 | Steps: 440
Episode: 26 | Reward: 10.0 | Q Loss: 0.6935105323791504 | Steps: 450
Episode: 27 | Reward: 16.0 | Q Loss: 0.6932769417762756 | Steps: 466
Episode: 28 | Reward: 12.0 | Q Loss: 0.693333089351654 | Steps: 478
Episode: 29 | Reward: 16.0 | Q Loss: 0.6933081746101379 | Steps: 494
Episode: 30 | Reward: 10.0 | Q Loss: 0.6933228969573975 | Steps: 504
Episode: 31 | Reward: 19.0 | Q Loss: 0.6932621002197266 | Steps: 523
Episode: 32 | Reward: 13.0 | Q Loss: 0.6936429142951965 | Steps: 536
Episode: 33 | Reward: 13.0 | Q Loss: 0.6937727928161621 | Steps: 549
Episode: 34 | Reward: 11.0 | Q Loss: 0.6935549974441528 | Steps: 560
Episode: 35 | Reward: 12.0 | Q Loss: 0.6934256553649902 | Steps: 572
Episode: 36 | Reward: 15.0 | Q Loss: 0.6933774948120117 | Steps: 587
Episode: 37 | Reward: 13.0 | Q Loss: 0.6939488053321838 | Steps: 600
Episode: 38 | Reward: 12.0 | Q Loss: 0.6942434310913086 | Steps: 612
Episode: 39 | Reward: 32.0 | Q Loss: 0.6940658688545227 | Steps: 644
Episode: 40 | Reward: 21.0 | Q Loss: 0.693960428237915 | Steps: 665
Episode: 41 | Reward: 32.0 | Q Loss: 0.6940386295318604 | Steps: 697
Episode: 42 | Reward: 12.0 | Q Loss: 0.6941043734550476 | Steps: 709
Episode: 43 | Reward: 19.0 | Q Loss: 0.6941668391227722 | Steps: 728
Episode: 44 | Reward: 12.0 | Q Loss: 0.6937093734741211 | Steps: 740
